tweet_id,tweet_text,hashtags
1,"I absolutely love this beautiful day! #sunshine #happy","sunshine,happy"
2,"Feeling worried about the upcoming exam #stress #study","stress,study"
3,"So sad to hear about the news today #heartbroken","heartbroken"
4,"Can't wait to see my friends tomorrow! #excited #friendship","excited,friendship"
5,"This movie was absolutely terrible #disappointed","disappointed"
6,"Just got my dream job! So excited to start! #career #success","career,success"
7,"Missing my family so much right now #homesick","homesick"
8,"What a perfect day for a walk in nature #peaceful #nature","peaceful,nature"
9,"Struggling with this project deadline #stressed #work","stressed,work"
10,"Just celebrated our anniversary! #love #happiness","love,happiness" 
